ID,WEIGHT,PRSNC20,SENNC20,GOVNC20,AGE,AGE3,AGE10,AGE45,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BRNAGAIN,CALL,CDNUM,CHILD12,CONTAINCOVID,CONTAINCOVID2,CONTROLSEN,COUNT2,COUNTACC,EARLYVELECTION,ECONVCORONA20,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVBIDEN2,FAVPRES20,FAVTRUMP,FINSIT,FORCAND,GEOCODE,HANDLECORONA20,HANDLEECON20,INC100K,INC30K,INC50K,INCOME3,INCOME20,INCWHITE,ISSUE20,LATINO,LGBT,NEC,NEC2,NEWVOTER,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QLT20,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,RACISM20,RACISM20B,REGION,SEX,SEXBYRACE,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TELEPOLL,TEMPBIDEN,TEMPERAMENT20,TEMPTRUMP,TIME16,TIME16MONTH,TIME16WEEK,TRUMP2,TRUMP4,VERSION,VETVOTER,VOTEMETHOD,WHNCLINC,WHTEVANG
79881.0,2.8187499452,Joe Biden,Cal Cunningham,Roy Cooper,30-44,30-59,40-44,18-44,30-44,40-49,Black 30-44,Black 30-44,Black 30-44,Complete,No,,12.0,Yes,Very badly,Somewhat badly or very badly,The Democratic Party,Very confident or somewhat confident,Very confident,Absentee or early in-person,,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,For your candidate,3.0,Joe Biden,Joe Biden,,,,,,,,No,Yes,Poor,Not so good or poor,No,Women with children,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Liberal,,Liberal Democrats,Liberal Democrats,,Black,Black,State questionnaire,Black,Non-white,Black,One of many important problems,The most important problem or one of many important problems,South,Female,Black women,Suburbs,Suburbs, North Carolina,Other,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,,Early in-person,,All others
79882.0,3.18414604512,Donald Trump,Thom Tillis,Dan Forest,45-65,60+,60-64,45+,60+,50-64,Non-Black 60+,All others,All others,Complete,No,,12.0,No,Somewhat well,Very well or somewhat well,The Republican Party,Very confident or somewhat confident,Very confident,Absentee or early in-person,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,For your candidate,3.0,Donald Trump,Donald Trump,,,,,,,,No,No,Not so good,Not so good or poor,No,Men without children,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,All others,Conservative,,Independent/Something else,Conservative Republicans,,Other,Asian,State questionnaire,Asian,Non-white,Asian,A minor problem,A minor problem or not a problem at all,South,Male,All other races,"Cities over 500,000","Cities over 50,000", North Carolina,Other,Telephone survey,,,,,,,Strongly or somewhat approve,Somewhat approve,Version 2,,Early in-person,,All others
79883.0,0.38799179129,Joe Biden,Cal Cunningham,,18-29,18-29,18-24,18-44,18-29,18-24,Non-Black 18-29,Latino 18-29,Latino 18-29,Complete,No,,12.0,No,Somewhat badly,Somewhat badly or very badly,The Democratic Party,Very confident or somewhat confident,Somewhat confident,Absentee or early in-person,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,Against his opponent,3.0,Joe Biden,Joe Biden,,,,,,,,Yes,No,Poor,Not so good or poor,Yes,Women without children,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Democrat,Non-White Democrats,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,One of many important problems,The most important problem or one of many important problems,South,Female,Latino women,Suburbs,Suburbs, North Carolina,Other,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,,Early in-person,,All others
79884.0,0.72284215827,Joe Biden,Cal Cunningham,Roy Cooper,30-44,30-59,30-34,18-44,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,Complete,Yes,,1.0,Yes,Somewhat badly,Somewhat badly or very badly,The Democratic Party,Very confident or somewhat confident,Very confident,Absentee or early in-person,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,For your candidate,5.0,Joe Biden,Joe Biden,,,,,,,,No,No,Not so good,Not so good or poor,No,Women with children,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,Black,Black,State questionnaire,Black,Non-white,Black,The most important problem,The most important problem or one of many important problems,South,Female,Black women,Rural,Small Cities/Rural, North Carolina,Other,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,,Early in-person,,All others
79885.0,0.72284215827,Joe Biden,Cal Cunningham,Roy Cooper,30-44,30-59,30-34,18-44,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,Complete,Yes,,3.0,Yes,Very badly,Somewhat badly or very badly,The Democratic Party,Not very confident or not at all confident,Not very confident,Absentee or early in-person,,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,For your candidate,5.0,Joe Biden,Joe Biden,,,,,,,,No,No,Not so good,Not so good or poor,No,Women with children,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,Black,Black,State questionnaire,Black,Non-white,Black,The most important problem,The most important problem or one of many important problems,South,Female,Black women,Rural,Small Cities/Rural, North Carolina,Other,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,,Early in-person,,All others
79886.0,0.9192293054,Joe Biden,Cal Cunningham,Roy Cooper,45-65,60+,60-64,45+,60+,50-64,Black 60+,Black 60+,Black 45-64,Complete,Yes,,3.0,No,Somewhat badly,Somewhat badly or very badly,The Democratic Party,Very confident or somewhat confident,Somewhat confident,Absentee or early in-person,,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,For your candidate,5.0,Joe Biden,Joe Biden,,,,,,,,No,No,Not so good,Not so good or poor,No,Men without children,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,Black,Black,State questionnaire,Black,Non-white,Black,One of many important problems,The most important problem or one of many important problems,South,Male,Black men,Rural,Small Cities/Rural, North Carolina,Other,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,,Early in-person,,All others
79887.0,1.12617672881,Donald Trump,Thom Tillis,Dan Forest,30-44,30-59,35-39,18-44,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,No,,1.0,Yes,Somewhat well,Very well or somewhat well,The Republican Party,Very confident or somewhat confident,Somewhat confident,Absentee or early in-person,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,,,,,For your candidate,5.0,Donald Trump,Donald Trump,,,,,,,,No,No,Good,Excellent or good,No,Men with children,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Conservative,,Moderate/Liberal Republicans,Conservative Independents,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,South,Male,White men,Rural,Small Cities/Rural, North Carolina,Other,Telephone survey,,,,,,,Strongly or somewhat approve,Strongly approve,Version 2,,Early in-person,,All others
79888.0,0.24658958741,Joe Biden,Cal Cunningham,,45-65,60+,60-64,45+,60+,50-64,Black 60+,Black 60+,Black 45-64,Complete,Yes,,1.0,No,Somewhat badly,Somewhat badly or very badly,The Democratic Party,Very confident or somewhat confident,Somewhat confident,Absentee or early in-person,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,For your candidate,5.0,Omit,Joe Biden,,,,,,,,,No,Not so good,Not so good or poor,No,Women without children,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,Black,Black,State questionnaire,Black,Non-white,Black,One of many important problems,The most important problem or one of many important problems,South,Female,Black women,Rural,Small Cities/Rural, North Carolina,Other,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,,Early in-person,,All others
79889.0,6.51037764368,Donald Trump,Thom Tillis,Roy Cooper,65+,60+,65-74,45+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Yes,,12.0,No,Somewhat well,Very well or somewhat well,The Republican Party,Very confident or somewhat confident,Very confident,Absentee or early in-person,,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,,,For your candidate,3.0,Donald Trump,Donald Trump,,,,,,,,No,No,Good,Excellent or good,No,Women without children,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,White Republican,Conservative,,Independent/Something else,Conservative Republicans,,White,White,State questionnaire,White,White,White,Not a problem at all,A minor problem or not a problem at all,South,Female,White women,Suburbs,Suburbs, North Carolina,White suburban women,Telephone survey,,,,,,,Strongly or somewhat approve,Somewhat approve,Version 2,,Early in-person,,White Born-again/Evangelical Christians
79891.0,2.16334395868,Joe Biden,Cal Cunningham,Roy Cooper,45-65,30-59,45-49,45+,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,No,,12.0,Yes,Very badly,Somewhat badly or very badly,The Democratic Party,Very confident or somewhat confident,Somewhat confident,Absentee or early in-person,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,,,,Against his opponent,3.0,Joe Biden,Joe Biden,,,,,,,,No,No,Poor,Not so good or poor,No,Women with children,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,White,White,State questionnaire,White,White,White,One of many important problems,The most important problem or one of many important problems,South,Female,White women,Suburbs,Suburbs, North Carolina,White suburban women,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,,Early in-person,,All others
79892.0,0.42198238541,Joe Biden,Cal Cunningham,Roy Cooper,18-29,18-29,18-24,18-44,18-29,18-24,Non-Black 18-29,Latino 18-29,Latino 18-29,Complete,No,,7.0,No,Somewhat badly,Somewhat badly or very badly,The Democratic Party,Very confident or somewhat confident,Somewhat confident,Absentee or early in-person,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,For your candidate,1.0,Joe Biden,Joe Biden,,,,,,,,Yes,No,Not so good,Not so good or poor,Yes,Women without children,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Democrat,Non-White Democrats,Liberal,,Liberal Democrats,Liberal Democrats,,Other,Black,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,One of many important problems,The most important problem or one of many important problems,South,Female,Latino women,Suburbs,Suburbs, North Carolina,Other,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,,Early in-person,,All others
79893.0,0.46835240434,Joe Biden,Cal Cunningham,Roy Cooper,30-44,30-59,40-44,18-44,30-44,40-49,Black 30-44,Black 30-44,Black 30-44,Complete,Yes,,1.0,No,Somewhat badly,Somewhat badly or very badly,The Democratic Party,Very confident or somewhat confident,Very confident,Absentee or early in-person,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,For your candidate,5.0,Joe Biden,Joe Biden,,,,,,,,No,No,Not so good,Not so good or poor,No,Women without children,Independent/Something else,Black non-Democrat,Black Independent,Independent women,Independent,All others,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,Black,Black,State questionnaire,Black,Non-white,Black,One of many important problems,The most important problem or one of many important problems,South,Female,Black women,Rural,Small Cities/Rural, North Carolina,Other,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,,Early in-person,,All others
79894.0,3.48681072852,Donald Trump,Thom Tillis,Dan Forest,18-29,18-29,18-24,18-44,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,Complete,No,,12.0,No,Somewhat well,Very well or somewhat well,The Republican Party,Very confident or somewhat confident,Very confident,Absentee or early in-person,,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,,,For your candidate,3.0,Donald Trump,Donald Trump,,,,,,,,No,Yes,Good,Excellent or good,Yes,Women without children,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,White Republican,Conservative,,Independent/Something else,Conservative Republicans,,White,White,State questionnaire,White,White,White,A minor problem,A minor problem or not a problem at all,South,Female,White women,Suburbs,Suburbs, North Carolina,White suburban women,Telephone survey,,,,,,,Strongly or somewhat approve,Somewhat approve,Version 2,,Early in-person,,All others
79895.0,2.81460231816,Joe Biden,Cal Cunningham,Roy Cooper,45-65,30-59,50-59,45+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,Yes,,12.0,No,Somewhat badly,Somewhat badly or very badly,The Democratic Party,Not very confident or not at all confident,Not very confident,Absentee or early in-person,,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,Against his opponent,3.0,Joe Biden,Joe Biden,,,,,,,,No,No,Poor,Not so good or poor,No,Men without children,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,Black,Black,State questionnaire,Black,Non-white,Black,One of many important problems,The most important problem or one of many important problems,South,Male,Black men,"Cities over 500,000","Cities over 50,000", North Carolina,Other,Telephone survey,,,,,,,Strongly or somewhat disapprove,Strongly disapprove,Version 2,,Early in-person,,All others
